Model,Price
MacBook Pro M3 Max,295000
MacBook Pro M3,145000
Dell XPS 17,185000
ThinkPad X1 Carbon Gen 12,165000
ThinkPad T401s,26100
MacBook Air M1,56000
Dell Latitude 5401,36000
HP EliteBook 841,45800
Asus ROG Zephyrus G14,97000
ThinkPad T402s,27200
MacBook Air M2,57000
Dell Latitude 5402,37000
HP EliteBook 842,46600
Asus ROG Zephyrus G14,99000
ThinkPad T403s,28300
MacBook Air M3,58000
Dell Latitude 5403,38000
HP EliteBook 843,47400
Asus ROG Zephyrus G14,101000
ThinkPad T404s,29400
MacBook Air M4,59000
Dell Latitude 5404,39000
HP EliteBook 844,48200
Asus ROG Zephyrus G14,103000
ThinkPad T405s,30500
MacBook Air M1,60000
Dell Latitude 5405,40000
HP EliteBook 845,49000
Asus ROG Zephyrus G15,105000
ThinkPad T406s,31600
MacBook Air M1,61000
Dell Latitude 5406,41000
HP EliteBook 846,49800
Asus ROG Zephyrus G16,107000
ThinkPad T407s,32700
MacBook Air M2,62000
Dell Latitude 5407,42000
HP EliteBook 847,50600
Asus ROG Zephyrus G17,109000
ThinkPad T408s,33800
MacBook Air M3,63000
Dell Latitude 5408,43000
HP EliteBook 848,51400
Asus ROG Zephyrus G18,111000
ThinkPad T409s,34900
MacBook Air M4,64000
Dell Latitude 5409,44000
HP EliteBook 849,52200
Asus ROG Zephyrus G19,113000
ThinkPad T410s,36000
MacBook Air M1,65000
Dell Latitude 5410,45000
HP EliteBook 850,53000
Asus ROG Zephyrus G110,115000
ThinkPad T411s,37100
MacBook Air M1,66000
Dell Latitude 5411,46000
HP EliteBook 851,53800
Asus ROG Zephyrus G111,117000
ThinkPad T412s,38200
MacBook Air M2,67000
Dell Latitude 5412,47000
HP EliteBook 852,54600
Asus ROG Zephyrus G112,119000
ThinkPad T413s,39300
MacBook Air M3,68000
Dell Latitude 5413,48000
HP EliteBook 853,55400
Asus ROG Zephyrus G113,121000
ThinkPad T414s,40400
MacBook Air M4,69000
Dell Latitude 5414,49000
HP EliteBook 854,56200
Asus ROG Zephyrus G114,123000
ThinkPad T415s,41500
MacBook Air M1,70000
Dell Latitude 5415,50000
HP EliteBook 855,57000
Asus ROG Zephyrus G115,125000
ThinkPad T416s,42600
MacBook Air M1,71000
Dell Latitude 5416,51000
HP EliteBook 856,57800
